Year,StateAbbr,StateDesc,CountyName,CountyFIPS,TractFIPS,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,States,Counties
2020,NC,North Carolina,Forsyth,37067,37067000100,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,77.4,,,74.4,80.2,2052,POINT (-80.2468533 36.09765376),37067000100,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,37,2337
2020,NC,North Carolina,Forsyth,37067,37067000400,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,35.9,,,32.8,38.9,3251,POINT (-80.24190229 36.120282),37067000400,RISKBEH,LPA,CrdPrv,Physical Inactivity,37,2337
2020,NC,North Carolina,Forsyth,37067,37067000301,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,34.2,,,26.8,41.5,1799,POINT (-80.25301013 36.11101159),37067000301,PREVENT,COREW,CrdPrv,Core preventive services for older women,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001601,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.9,,,6.5,7.3,3652,POINT (-80.21232108 36.14057573),37067001601,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),37,2337
2020,NC,North Carolina,Forsyth,37067,37067003106,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,69.6,,,67.1,72,3099,POINT (-80.0991692 36.2316984),37067003106,PREVENT,DENTAL,CrdPrv,Dental Visit,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002603,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,23.3,,,22,24.6,6553,POINT (-80.31761918 36.13376913),37067002603,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,37,2337
2020,NC,North Carolina,Forsyth,37067,37067000600,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,43,,,41.4,44.3,2056,POINT (-80.22950124 36.10806171),37067000600,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002604,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,2.6,,,2.4,2.8,6441,POINT (-80.33688147 36.14914804),37067002604,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002904,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.8,,,3.5,4.1,2151,POINT (-80.18242779 36.21682825),37067002904,HLTHOUT,STROKE,CrdPrv,Stroke,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003004,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,80.8,,,79.9,81.6,3618,POINT (-80.12850447 36.11908004),37067003004,PREVENT,CHECKUP,CrdPrv,Annual Checkup,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002904,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,17.8,,,15.9,19.8,2151,POINT (-80.18242779 36.21682825),37067002904,PREVENT,ACCESS2,CrdPrv,Health Insurance,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002804,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,22.4,,,20.4,24.4,4150,POINT (-80.31211305 36.18441106),37067002804,RISKBEH,LPA,CrdPrv,Physical Inactivity,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001100,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,14,,,13.2,15,2254,POINT (-80.26221307 36.09504854),37067001100,HLTHSTAT,MHLTH,CrdPrv,Mental Health,37,2337
2020,NC,North Carolina,Forsyth,37067,37067000802,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,79.9,,,78.7,81.1,2100,POINT (-80.23127538 36.07657807),37067000802,PREVENT,CHECKUP,CrdPrv,Annual Checkup,37,2337
2020,NC,North Carolina,Forsyth,37067,37067000100,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,15.3,,,14.5,16.3,2052,POINT (-80.2468533 36.09765376),37067000100,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,37,2337
2020,NC,North Carolina,Forsyth,37067,37067000700,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,19.4,,,18.2,20.8,1764,POINT (-80.23109571 36.09824121),37067000700,HLTHOUT,DEPRESSION,CrdPrv,Depression,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003201,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.5,,,3,3.9,4774,POINT (-80.0940727 36.12512118),37067003201,HLTHOUT,STROKE,CrdPrv,Stroke,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001400,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,4.4,,,4.3,4.6,3710,POINT (-80.25535261 36.14223383),37067001400,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),37,2337
2020,NC,North Carolina,Forsyth,37067,37067002903,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.9,,,6.6,7.1,3828,POINT (-80.20288339 36.16997211),37067002903,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),37,2337
2020,NC,North Carolina,Forsyth,37067,37067002701,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,5.7,,,5.3,6.1,5864,POINT (-80.30932926 36.16277665),37067002701,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001800,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,23.8,,,21.2,26.2,4207,POINT (-80.20878797 36.07748107),37067001800,RISKBEH,CSMOKING,CrdPrv,Current Smoking,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001200,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,58.1,,,47.3,66.6,1959,POINT (-80.26839411 36.10931829),37067001200,PREVENT,COREM,CrdPrv,Core preventive services for older men,37,2337
2020,NC,North Carolina,Forsyth,37067,37067000302,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,9.5,,,8.2,10.9,1859,POINT (-80.25651421 36.11934205),37067000302,HLTHOUT,COPD,CrdPrv,COPD,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003311,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,9.5,,,8.3,10.9,1926,POINT (-80.12891868 36.06085301),37067003311,HLTHSTAT,GHLTH,CrdPrv,General Health,37,2337
2019,NC,North Carolina,Forsyth,37067,37067003906,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,33.4,,,32,34.8,3436,POINT (-80.3234367 36.10074643),37067003906,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,37,2337
2019,NC,North Carolina,Forsyth,37067,37067002502,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,79.3,,,78.4,80.2,2770,POINT (-80.29912085 36.09940446),37067002502,PREVENT,BPMED,CrdPrv,Taking BP Medication,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002808,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,86.3,,,85.1,87.6,3531,POINT (-80.3193267 36.23878572),37067002808,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003309,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,6.3,,,5.8,6.9,4956,POINT (-80.17945558 36.09222425),37067003309,HLTHOUT,COPD,CrdPrv,COPD,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003805,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,80.8,,,80.1,81.4,5573,POINT (-80.32271014 36.06428965),37067003805,PREVENT,CHECKUP,CrdPrv,Annual Checkup,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003315,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,50.8,,,43.5,58,3424,POINT (-80.06639415 36.09662422),37067003315,PREVENT,COREW,CrdPrv,Core preventive services for older women,37,2337
2019,NC,North Carolina,Forsyth,37067,37067002807,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,35.1,,,34.3,35.8,5031,POINT (-80.2712063 36.23347304),37067002807,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003804,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,8,,,7.6,8.4,4100,POINT (-80.32104682 36.03855459),37067003804,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),37,2337
2020,NC,North Carolina,Forsyth,37067,37067001901,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,36.5,,,33.7,39.1,1549,POINT (-80.22677871 36.06489855),37067001901,PREVENT,ACCESS2,CrdPrv,Health Insurance,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001000,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,20.1,,,17.8,22.5,4652,POINT (-80.26490783 36.07843284),37067001000,RISKBEH,LPA,CrdPrv,Physical Inactivity,37,2337
2020,NC,North Carolina,Forsyth,37067,37067004104,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,29.4,,,27.8,31,3429,POINT (-80.37297472 36.16789211),37067004104,HLTHOUT,OBESITY,CrdPrv,Obesity,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001500,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,14.5,,,13.5,15.6,4095,POINT (-80.23983926 36.15171466),37067001500,HLTHSTAT,PHLTH,CrdPrv,Physical Health,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001602,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,9.8,,,9.4,10.2,3077,POINT (-80.22093654 36.12260812),37067001602,RISKBEH,BINGE,CrdPrv,Binge Drinking,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003310,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,15.2,,,14.2,16.2,4061,POINT (-80.15049361 36.07676397),37067003310,HLTHSTAT,MHLTH,CrdPrv,Mental Health,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001400,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,39.6,,,38.5,40.7,3710,POINT (-80.25535261 36.14223383),37067001400,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001200,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,11.6,,,11.1,12.1,1959,POINT (-80.26839411 36.10931829),37067001200,RISKBEH,BINGE,CrdPrv,Binge Drinking,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001700,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,83.4,,,82.9,83.9,5231,POINT (-80.19974096 36.11442226),37067001700,PREVENT,CHECKUP,CrdPrv,Annual Checkup,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002703,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,5.4,,,4.9,6.1,6039,POINT (-80.28414477 36.14657959),37067002703,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,37,2337
2019,NC,North Carolina,Forsyth,37067,37067003103,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,72.2,,,70.8,73.6,5468,POINT (-80.07657309 36.18365292),37067003103,PREVENT,BPMED,CrdPrv,Taking BP Medication,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002701,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,44.8,,,37.6,51.6,5864,POINT (-80.30932926 36.16277665),37067002701,PREVENT,COREM,CrdPrv,Core preventive services for older men,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003315,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,31.4,,,30,32.9,3424,POINT (-80.06639415 36.09662422),37067003315,HLTHOUT,OBESITY,CrdPrv,Obesity,37,2337
2020,NC,North Carolina,Forsyth,37067,37067004102,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,8.2,,,6.9,9.5,3256,POINT (-80.41655399 36.17131266),37067004102,HLTHOUT,COPD,CrdPrv,COPD,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003701,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,18.9,,,18.2,19.6,4830,POINT (-80.26968853 36.05616365),37067003701,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002002,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,28.8,,,25.8,32,3072,POINT (-80.25199012 36.0542286),37067002002,PREVENT,ACCESS2,CrdPrv,Health Insurance,37,2337
2020,NC,North Carolina,Forsyth,37067,37067000200,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,13.9,,,13.4,14.4,1103,POINT (-80.24817006 36.10548533),37067000200,RISKBEH,BINGE,CrdPrv,Binge Drinking,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003703,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,31.9,,,30.5,33.2,6032,POINT (-80.28102146 36.01218772),37067003703,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003312,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,2.6,,,2.4,2.7,2692,POINT (-80.08847512 36.05925237),37067003312,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003701,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,17.5,,,16.4,18.6,4830,POINT (-80.26968853 36.05616365),37067003701,HLTHSTAT,MHLTH,CrdPrv,Mental Health,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003106,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,2.7,,,2.6,2.9,3099,POINT (-80.0991692 36.2316984),37067003106,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003904,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,28.7,,,27.8,29.6,5907,POINT (-80.35496008 36.06964182),37067003904,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001200,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.3,,,2.7,4.3,1959,POINT (-80.26839411 36.10931829),37067001200,HLTHOUT,STROKE,CrdPrv,Stroke,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002501,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,14.5,,,14,15.1,2590,POINT (-80.28289292 36.10440801),37067002501,RISKBEH,BINGE,CrdPrv,Binge Drinking,37,2337
2020,NC,North Carolina,Forsyth,37067,37067000301,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,37,,,25,48.6,1799,POINT (-80.25301013 36.11101159),37067000301,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,37,2337
2020,NC,North Carolina,Forsyth,37067,37067004015,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,81.1,,,77.1,84.4,3296,POINT (-80.36811626 35.99743566),37067004015,PREVENT,MAMMOUSE,CrdPrv,Mammography,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002904,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,14.8,,,14.1,15.5,2151,POINT (-80.18242779 36.21682825),37067002904,HLTHSTAT,MHLTH,CrdPrv,Mental Health,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003402,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,30,,,28.9,31.1,2182,POINT (-80.13998466 36.03910993),37067003402,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001901,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,4.6,,,4.3,4.8,1549,POINT (-80.22677871 36.06489855),37067001901,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,37,2337
2020,NC,North Carolina,Forsyth,37067,37067004005,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,19.5,,,18.3,21,4695,POINT (-80.40059216 36.00488745),37067004005,HLTHOUT,DEPRESSION,CrdPrv,Depression,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003308,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,2.3,,,2.1,2.4,7880,POINT (-80.12918949 36.09328815),37067003308,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001300,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,51.2,,,43.9,58.6,4535,POINT (-80.27617771 36.12959564),37067001300,PREVENT,COREM,CrdPrv,Core preventive services for older men,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003906,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,7.5,,,6.7,8.4,3436,POINT (-80.3234367 36.10074643),37067003906,HLTHSTAT,PHLTH,CrdPrv,Physical Health,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002903,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,36,,,35.1,36.8,3828,POINT (-80.20288339 36.16997211),37067002903,HLTHOUT,OBESITY,CrdPrv,Obesity,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001902,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.6,,,3.2,4.1,1917,POINT (-80.24633872 36.07103874),37067001902,HLTHOUT,STROKE,CrdPrv,Stroke,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001601,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,19.6,,,17,22.3,3652,POINT (-80.21232108 36.14057573),37067001601,HLTHSTAT,GHLTH,CrdPrv,General Health,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001500,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,8.2,,,7.4,9.1,4095,POINT (-80.23983926 36.15171466),37067001500,HLTHOUT,COPD,CrdPrv,COPD,37,2337
2019,NC,North Carolina,Forsyth,37067,37067002801,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,89.2,,,89.1,89.4,4236,POINT (-80.39405888 36.22614831),37067002801,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,37,2337
2019,NC,North Carolina,Forsyth,37067,37067004013,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,75,,,74.1,75.9,3083,POINT (-80.39616926 36.03375437),37067004013,PREVENT,BPMED,CrdPrv,Taking BP Medication,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001400,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,31.2,,,28,34.9,3710,POINT (-80.25535261 36.14223383),37067001400,PREVENT,ACCESS2,CrdPrv,Health Insurance,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001602,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,20.5,,,19.5,21.6,3077,POINT (-80.22093654 36.12260812),37067001602,HLTHOUT,DEPRESSION,CrdPrv,Depression,37,2337
2019,NC,North Carolina,Forsyth,37067,37067002603,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,33.2,,,32.3,34.2,6553,POINT (-80.31761918 36.13376913),37067002603,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,37,2337
2019,NC,North Carolina,Forsyth,37067,37067003002,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,35.6,,,35,36.3,3932,POINT (-80.17417274 36.15062746),37067003002,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,37,2337
2020,NC,North Carolina,Forsyth,37067,37067000200,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,37.8,,,36.1,39.3,1103,POINT (-80.24817006 36.10548533),37067000200,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003313,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,48.4,,,42.1,54.8,1458,POINT (-80.0682524 36.0277462),37067003313,PREVENT,COREM,CrdPrv,Core preventive services for older men,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002901,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,45.6,,,40.9,50.4,4784,POINT (-80.2290432 36.21429108),37067002901,PREVENT,COREM,CrdPrv,Core preventive services for older men,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003309,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,24.2,,,22.6,25.8,4956,POINT (-80.17945558 36.09222425),37067003309,RISKBEH,LPA,CrdPrv,Physical Inactivity,37,2337
2020,NC,North Carolina,Forsyth,37067,37067004009,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,12.5,,,10.3,14.9,3802,POINT (-80.44581606 36.11152481),37067004009,PREVENT,ACCESS2,CrdPrv,Health Insurance,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003905,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,71,,,67.9,73.8,3607,POINT (-80.32526058 36.08948295),37067003905,PREVENT,DENTAL,CrdPrv,Dental Visit,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002604,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.2,,,7.8,8.7,6441,POINT (-80.33688147 36.14914804),37067002604,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,37,2337
2019,NC,North Carolina,Forsyth,37067,37067004104,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,32.7,,,31.6,33.8,3429,POINT (-80.37297472 36.16789211),37067004104,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003103,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,15,,,11.9,18.4,5468,POINT (-80.07657309 36.18365292),37067003103,RISKBEH,CSMOKING,CrdPrv,Current Smoking,37,2337
2020,NC,North Carolina,Forsyth,37067,37067004012,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,86.7,,,84.7,88.5,5611,POINT (-80.38568698 36.05872572),37067004012,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003314,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,5.4,,,4.6,6.3,3171,POINT (-80.05497862 36.06733777),37067003314,HLTHOUT,COPD,CrdPrv,COPD,37,2337
2020,NC,North Carolina,Forsyth,37067,37067002804,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,6.8,,,5.9,7.8,4150,POINT (-80.31211305 36.18441106),37067002804,HLTHOUT,COPD,CrdPrv,COPD,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003105,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,14.8,,,13.8,15.7,3649,POINT (-80.14051155 36.19347844),37067003105,HLTHSTAT,MHLTH,CrdPrv,Mental Health,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003703,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,17,,,15.5,18.4,6032,POINT (-80.28102146 36.01218772),37067003703,RISKBEH,LPA,CrdPrv,Physical Inactivity,37,2337
2020,NC,North Carolina,Forsyth,37067,37067001100,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,84.2,,,82.2,86,2254,POINT (-80.26221307 36.09504854),37067001100,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003402,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,67.1,,,64.1,69.9,2182,POINT (-80.13998466 36.03910993),37067003402,PREVENT,DENTAL,CrdPrv,Dental Visit,37,2337
2020,NC,North Carolina,Forsyth,37067,37067004010,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,16.1,,,15.7,16.5,3392,POINT (-80.3798613 36.10896479),37067004010,RISKBEH,BINGE,CrdPrv,Binge Drinking,37,2337
2019,NC,North Carolina,Forsyth,37067,37067002702,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,86,,,85.3,86.8,5675,POINT (-80.27692647 36.16200929),37067002702,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,37,2337
2020,NC,North Carolina,Forsyth,37067,37067003004,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,53.7,,,44.8,62,3618,POINT (-80.12850447 36.11908004),37067003004,PREVENT,COREM,CrdPrv,Core preventive services for older men,37,2337
